reads,mean,sd,max,perc_compl,sd_upr_perc_compl,sd_lwr_perc_compl,max_perc_compl
37000,155.92,6.59304806810043,171,16.3438155136268,17.0349106989623,15.6527203282914,17.9245283018868
38000,159.18,7.16667371387955,172,16.685534591195,17.4367582509308,15.9343109314592,18.0293501048218
39000,159.54,7.41200227858693,175,16.7232704402516,17.5002098824515,15.9463309980517,18.3438155136268
40000,162.68,7.13913669341558,181,17.0524109014675,17.8007480810708,16.3040737218642,18.9727463312369
41000,164.78,6.39377854170787,186,17.272536687631,17.94274408194,16.602329293322,19.4968553459119
42000,166.6,6.92820323027551,187,17.4633123689727,18.1895391226704,16.7370856152751,19.601677148847
43000,166.66,6.62291705391441,188,17.4696016771488,18.1638277834292,16.7753755708685,19.706498951782
44000,170.13,7.52323673089521,187,17.8333333333333,18.6219325713727,17.044734095294,19.601677148847
45000,171.36,7.47185966601935,188,17.9622641509434,18.7454779524129,17.1790503494739,19.706498951782
46000,173.64,6.52813646123958,190,18.2012578616352,18.8855488953081,17.5169668279623,19.916142557652
47000,174.53,7.59778675907423,191,18.2945492662474,19.0909629726493,17.4981355598455,20.020964360587
48000,176.65,7.83591189023429,195,18.5167714884696,19.3381459004438,17.6953970764954,20.440251572327
49000,178.43,7.01118154569304,197,18.7033542976939,19.4382789880181,17.9684296073697,20.6498951781971
50000,179.54,6.78593316271896,191,18.8197064989518,19.5310202476645,18.1083927502391,20.020964360587
51000,181.4,7.49814791946799,200,19.0146750524109,19.8006444360029,18.2287056688189,20.9643605870021
52000,182.35,7.06445791668162,197,19.1142557651992,19.8547649807842,18.3737465496141,20.6498951781971
53000,183.05,6.80815761428965,201,19.1876310272537,19.9012743830492,18.4739876714581,21.0691823899371
54000,184.8,6.45575461714335,201,19.3710691823899,20.0477730206649,18.694365344115,21.0691823899371
55000,185.88,6.41223577832005,206,19.4842767295597,20.1564188446876,18.8121346144319,21.5932914046122
56000,189.01,6.68708237627373,211,19.8123689727463,20.5133210038023,19.1114169416904,22.1174004192872
57000,189.65,6.65510360854014,204,19.8794549266247,20.5770548855912,19.1818549676583,21.3836477987421
58000,191.55,6.92874994191418,206,20.0786163522013,20.8049004131986,19.352332291204,21.5932914046122
59000,192.06,6.44451062313634,210,20.1320754716981,20.8076006942491,19.4565502491471,22.0125786163522
60000,192.67,6.70753383152184,205,20.1960167714885,20.8991125609562,19.4929209820208,21.4884696016771
61000,194.74,6.09457450392055,209,20.4129979035639,21.0518421911866,19.7741536159412,21.9077568134172
62000,195.19,6.72503989699404,212,20.4601677148847,21.1650985216975,19.7552369080719,22.2222222222222
63000,197.41,7.04974388817699,213,20.6928721174004,21.4318389819892,19.9539052528116,22.3270440251572
64000,197.15,7.25909391346086,215,20.6656184486373,21.4265297603208,19.9047071369538,22.5366876310273
65000,199.72,7.68190843291673,222,20.9350104821803,21.7402419741003,20.1297789902603,23.2704402515723
66000,200.12,6.19918534889053,213,20.9769392033543,21.6267489883533,20.3271294183553,22.3270440251572
67000,202.39,6.80002228160342,218,21.2148846960168,21.9276752915727,20.5020941004609,22.8511530398323
68000,202.31,6.47246693949288,219,21.206498951782,21.8849546058169,20.5280432977471,22.9559748427673
69000,202.72,6.43550756162694,219,21.2494758909853,21.924057396397,20.5748943855737,22.9559748427673
70000,205.83,7.00656978856417,229,21.5754716981132,22.3099129757405,20.8410304204859,24.0041928721174
71000,206.1,7.34090518184841,225,21.6037735849057,22.373260501242,20.8342866685693,23.5849056603774
72000,206.1,6.13567149108104,221,21.6037735849057,22.2469257328177,20.9606214369936,23.1656184486373
73000,208.03,7.36145434686721,226,21.8060796645702,22.5777205814326,21.0344387477078,23.6897274633124
74000,208.96,6.44936767709389,223,21.9035639412998,22.5795982890036,21.227529593596,23.3752620545073
75000,209,6.35641726163728,226,21.9077568134172,22.5740479309892,21.2414656958451,23.6897274633124
76000,209.81,6.82345183536126,225,21.9926624737945,22.7079089974173,21.2774159501718,23.5849056603774
77000,211.21,6.53088234792392,232,22.1394129979036,22.8239918603694,21.4548341354377,24.3186582809224
78000,211.35,6.44224535798857,226,22.1540880503145,22.8293758236885,21.4788002769404,23.6897274633124
79000,213,6.29253204965693,230,22.3270440251572,22.9866385796286,21.6674494706859,24.1090146750524
80000,213.22,5.90254182534948,225,22.3501048218029,22.9688198978354,21.7313897457705,23.5849056603774
81000,215.68,6.51785426673719,237,22.6079664570231,23.2911796925301,21.924753221516,24.8427672955975
82000,215.19,6.8130815941159,238,22.5566037735849,23.2707632698235,21.8424442773463,24.9475890985325
83000,216.99,7.10881512808235,233,22.7452830188679,23.4904418373252,22.0001242004107,24.4234800838574
84000,219.31,6.09304123694822,232,22.9884696016771,23.6271531694914,22.3497860338629,24.3186582809224
85000,217.84,6.01298258736541,232,22.8343815513627,23.4646732271871,22.2040898755382,24.3186582809224
86000,219.05,6.20910865608183,232,22.961215932914,23.6120658968639,22.3103659689642,24.3186582809224
87000,217.49,7.57520543442469,237,22.7976939203354,23.5917406115749,22.0036472290959,24.8427672955975
88000,220.91,6.67589512781438,239,23.1561844863732,23.8559638498757,22.4564051228706,25.0524109014675
89000,220.98,5.85684439460588,238,23.1635220125786,23.777447001531,22.5495970236262,24.9475890985325
90000,222.08,6.50202765576736,238,23.2788259958071,23.960380257418,22.5972717341963,24.9475890985325
